time;proto;src_ip;src_port;dst_ip;dst_port;flags;length
15:34:06.684292;IP;190-0-175-100.gba.solunet.com.ar;2643;184.107.43.74;80;S;120:
15:34:06.684309;IP;190-0-175-100.gba.solunet.com.ar;2644;184.107.43.74;80;S;120:
15:34:06.684325;IP;190-0-175-100.gba.solunet.com.ar;2645;184.107.43.74;80;S;120:
15:34:06.684341;IP;190-0-175-100.gba.solunet.com.ar;2646;184.107.43.74;80;S;120:
15:34:06.684357;IP;190-0-175-100.gba.solunet.com.ar;2647;184.107.43.74;80;S;120:
15:34:06.684374;IP;190-0-175-100.gba.solunet.com.ar;2648;184.107.43.74;80;S;120:
15:34:06.684390;IP;190-0-175-100.gba.solunet.com.ar;2649;184.107.43.74;80;S;120:
15:34:06.684406;IP;190-0-175-100.gba.solunet.com.ar;2650;184.107.43.74;80;S;120:
15:34:06.684423;IP;190-0-175-100.gba.solunet.com.ar;2651;184.107.43.74;80;S;120:
15:34:06.684439;IP;190-0-175-100.gba.solunet.com.ar;2652;184.107.43.74;80;S;120:
15:34:06.684456;IP;190-0-175-100.gba.solunet.com.ar;2653;184.107.43.74;80;S;120:
15:34:06.684472;IP;190-0-175-100.gba.solunet.com.ar;2654;184.107.43.74;80;S;120:
15:34:06.684488;IP;190-0-175-100.gba.solunet.com.ar;2655;184.107.43.74;80;S;120:
15:34:06.684504;IP;190-0-175-100.gba.solunet.com.ar;2656;184.107.43.74;80;S;120:
15:34:06.684521;IP;190-0-175-100.gba.solunet.com.ar;2657;184.107.43.74;80;S;120:
15:34:06.684537;IP;190-0-175-100.gba.solunet.com.ar;2658;184.107.43.74;80;S;120:
15:34:06.684554;IP;190-0-175-100.gba.solunet.com.ar;2659;184.107.43.74;80;S;120:
15:34:06.684570;IP;190-0-175-100.gba.solunet.com.ar;2660;184.107.43.74;80;S;120:
15:34:06.684586;IP;190-0-175-100.gba.solunet.com.ar;2661;184.107.43.74;80;S;120:
15:34:06.684603;IP;190-0-175-100.gba.solunet.com.ar;2662;184.107.43.74;80;S;120:
